run_id	sequence_accession	score	percent_identity	n_reads	viral_name
SRR031853	NC_007605.1	97	99	11166	Epstein-Barr virus
SRR031854	NC_007605.1	99	99	8040	Epstein-Barr virus
SRR031855	NC_007605.1	97	100	23495	Epstein-Barr virus
SRR031856	NC_007605.1	97	100	15536	Epstein-Barr virus
SRR031857	NC_007605.1	98	100	38571	Epstein-Barr virus
SRR031858	NC_007605.1	97	100	21013	Epstein-Barr virus
SRR031859	NC_007605.1	98	99	11463	Epstein-Barr virus
ERR589497	NC_007605.1	58	99	156	Epstein-Barr virus
SRR031860	NC_007605.1	98	99	11444	Epstein-Barr virus
SRR060032	NC_007605.1	100	97	660	Epstein-Barr virus
SRR031861	NC_007605.1	98	99	11516	Epstein-Barr virus
ERR912144	NC_007605.1	53	99	163	Epstein-Barr virus
SRR031862	NC_007605.1	98	100	9163	Epstein-Barr virus
SRR031863	NC_007605.1	99	99	9282	Epstein-Barr virus
SRR031864	NC_007605.1	100	99	8079	Epstein-Barr virus
SRR031865	NC_007605.1	98	99	10493	Epstein-Barr virus
ERR3209999	NC_007605.1	100	99	19693	Epstein-Barr virus
SRR031866	NC_007605.1	98	99	12831	Epstein-Barr virus
SRR031867	NC_007605.1	97	100	44929	Epstein-Barr virus
SRR031868	NC_007605.1	97	100	18313	Epstein-Barr virus
SRR031869	NC_007605.1	97	100	36265	Epstein-Barr virus
SRR10233909	NC_007605.1	72	98	563	Epstein-Barr virus
SRR031870	NC_007605.1	97	100	30308	Epstein-Barr virus
SRR10233910	NC_007605.1	79	98	966	Epstein-Barr virus
SRR031871	NC_007605.1	97	100	14404	Epstein-Barr virus
SRR10233911	NC_007605.1	80	98	556	Epstein-Barr virus
SRR031872	NC_007605.1	97	100	19295	Epstein-Barr virus
SRR10233912	NC_007605.1	66	98	419	Epstein-Barr virus
SRR031873	NC_007605.1	97	100	72630	Epstein-Barr virus
SRR11140694	NC_007605.1	97	100	49963	Epstein-Barr virus
SRR10233913	NC_007605.1	74	99	606	Epstein-Barr virus
SRR031874	NC_007605.1	100	100	22362	Epstein-Barr virus
SRR10233914	NC_007605.1	100	98	2054	Epstein-Barr virus
SRR11140695	NC_007605.1	96	100	55061	Epstein-Barr virus
SRR031875	NC_007605.1	98	100	29193	Epstein-Barr virus
SRR11140696	NC_007605.1	97	100	48956	Epstein-Barr virus
SRR11140697	NC_007605.1	97	100	23854	Epstein-Barr virus
SRR11140698	NC_007605.1	97	100	38068	Epstein-Barr virus
SRR11140699	NC_007605.1	97	100	28608	Epstein-Barr virus
SRR11140700	NC_007605.1	97	100	94486	Epstein-Barr virus
SRR031876	NC_007605.1	98	100	18560	Epstein-Barr virus
SRR11140701	NC_007605.1	97	100	111115	Epstein-Barr virus
SRR031877	NC_007605.1	97	100	17113	Epstein-Barr virus
SRR031878	NC_007605.1	100	100	12058	Epstein-Barr virus
SRR11140702	NC_007605.1	97	100	89328	Epstein-Barr virus
ERR3675792	NC_007605.1	100	98	966	Epstein-Barr virus
SRR031879	NC_007605.1	98	99	42488	Epstein-Barr virus
SRR031880	NC_007605.1	99	99	22585	Epstein-Barr virus
SRR031881	NC_007605.1	100	98	43543	Epstein-Barr virus
SRR031883	NC_007605.1	98	99	29006	Epstein-Barr virus
SRR031882	NC_007605.1	98	99	32890	Epstein-Barr virus
SRR031884	NC_007605.1	98	99	14789	Epstein-Barr virus
SRR031885	NC_007605.1	98	99	13408	Epstein-Barr virus
ERR3675793	NC_007605.1	100	99	402	Epstein-Barr virus
SRR031886	NC_007605.1	98	99	37056	Epstein-Barr virus
SRR031887	NC_007605.1	98	99	30277	Epstein-Barr virus
SRR10744111	NC_007605.1	100	99	797	Epstein-Barr virus
SRR031888	NC_007605.1	99	99	16034	Epstein-Barr virus
SRR031889	NC_007605.1	98	99	36957	Epstein-Barr virus
SRR031890	NC_007605.1	100	99	42619	Epstein-Barr virus
SRR031891	NC_007605.1	98	99	26358	Epstein-Barr virus
SRR031892	NC_007605.1	98	99	55747	Epstein-Barr virus
SRR031893	NC_007605.1	98	99	17163	Epstein-Barr virus
SRR031894	NC_007605.1	98	99	13039	Epstein-Barr virus
SRR031895	NC_007605.1	98	99	28814	Epstein-Barr virus
SRR031896	NC_007605.1	98	99	19530	Epstein-Barr virus
SRR11207266	NC_007605.1	100	99	1486	Epstein-Barr virus
ERR589518	NC_007605.1	60	99	211	Epstein-Barr virus
SRR031897	NC_007605.1	99	99	32130	Epstein-Barr virus
SRR10969500	NC_007605.1	85	100	980	Epstein-Barr virus
SRR031898	NC_007605.1	98	99	41250	Epstein-Barr virus
SRR10038129	NC_007605.1	100	99	80689	Epstein-Barr virus
SRR10038130	NC_007605.1	97	99	11597	Epstein-Barr virus
ERR589522	NC_007605.1	100	99	1780	Epstein-Barr virus
SRR10969509	NC_007605.1	83	100	1061	Epstein-Barr virus
SRR10038131	NC_007605.1	94	99	11861	Epstein-Barr virus
ERR589523	NC_007605.1	100	99	3633	Epstein-Barr virus
SRR10038132	NC_007605.1	94	99	12823	Epstein-Barr virus
SRR11476812	NC_007605.1	65	99	1814	Epstein-Barr virus
SRR031899	NC_007605.1	97	100	61767	Epstein-Barr virus
SRR11477318	NC_007605.1	100	99	29461	Epstein-Barr virus
SRR031900	NC_007605.1	98	99	42696	Epstein-Barr virus
SRR031901	NC_007605.1	99	99	28989	Epstein-Barr virus
SRR031902	NC_007605.1	100	99	10820	Epstein-Barr virus
ERR3210012	NC_007605.1	88	99	358	Epstein-Barr virus
SRR031904	NC_007605.1	98	99	19468	Epstein-Barr virus
SRR031903	NC_007605.1	100	99	70603	Epstein-Barr virus
SRR031905	NC_007605.1	99	99	19157	Epstein-Barr virus
SRR031906	NC_007605.1	98	99	36681	Epstein-Barr virus
SRR11477319	NC_007605.1	100	100	18355	Epstein-Barr virus
SRR031907	NC_007605.1	99	99	30953	Epstein-Barr virus
SRR031908	NC_007605.1	98	99	22322	Epstein-Barr virus
SRR031909	NC_007605.1	96	99	18431	Epstein-Barr virus
SRR031910	NC_007605.1	99	99	61155	Epstein-Barr virus
SRR031911	NC_007605.1	100	99	24316	Epstein-Barr virus
SRR031912	NC_007605.1	100	99	22571	Epstein-Barr virus
SRR060155	NC_007605.1	100	97	6258	Epstein-Barr virus
SRR031913	NC_007605.1	100	99	14109	Epstein-Barr virus
SRR031914	NC_007605.1	98	99	16558	Epstein-Barr virus
SRR031915	NC_007605.1	98	99	20579	Epstein-Barr virus
ERR3210014	NC_007605.1	100	99	718	Epstein-Barr virus
SRR031916	NC_007605.1	98	99	28178	Epstein-Barr virus
SRR031917	NC_007605.1	98	99	21786	Epstein-Barr virus
SRR031918	NC_007605.1	97	100	33703	Epstein-Barr virus
SRR031919	NC_007605.1	97	99	12825	Epstein-Barr virus
SRR031920	NC_007605.1	98	99	44149	Epstein-Barr virus
SRR031921	NC_007605.1	98	99	14573	Epstein-Barr virus
SRR031922	NC_007605.1	98	99	25590	Epstein-Barr virus
SRR031923	NC_007605.1	99	99	18459	Epstein-Barr virus
SRR031924	NC_007605.1	100	99	18490	Epstein-Barr virus
SRR031925	NC_007605.1	99	99	48620	Epstein-Barr virus
SRR031926	NC_007605.1	99	99	32422	Epstein-Barr virus
SRR031927	NC_007605.1	98	99	21019	Epstein-Barr virus
SRR031928	NC_007605.1	100	96	5775	Epstein-Barr virus
SRR031929	NC_007605.1	100	92	4982	Epstein-Barr virus
SRR031930	NC_007605.1	100	99	10000	Epstein-Barr virus
SRR031931	NC_007605.1	98	99	17181	Epstein-Barr virus
SRR11207285	NC_007605.1	100	99	1013	Epstein-Barr virus
SRR031932	NC_007605.1	98	99	20318	Epstein-Barr virus
SRR031933	NC_007605.1	98	99	49824	Epstein-Barr virus
SRR031934	NC_007605.1	98	99	34095	Epstein-Barr virus
SRR031935	NC_007605.1	99	99	34178	Epstein-Barr virus
SRR031936	NC_007605.1	98	99	23027	Epstein-Barr virus
SRR031937	NC_007605.1	99	99	13792	Epstein-Barr virus
SRR031938	NC_007605.1	99	99	26918	Epstein-Barr virus
SRR031939	NC_007605.1	99	99	32707	Epstein-Barr virus
SRR031940	NC_007605.1	99	99	20959	Epstein-Barr virus
SRR031941	NC_007605.1	99	99	85135	Epstein-Barr virus
ERR3210021	NC_007605.1	66	99	183	Epstein-Barr virus
ERR3210022	NC_007605.1	72	99	235	Epstein-Barr virus
ERR3210023	NC_007605.1	100	99	3402	Epstein-Barr virus
ERR3210024	NC_007605.1	100	99	764	Epstein-Barr virus
SRR034164	NC_007605.1	97	99	14029	Epstein-Barr virus
SRR034194	NC_007605.1	98	99	45462	Epstein-Barr virus
SRR034202	NC_007605.1	98	99	44070	Epstein-Barr virus
SRR034203	NC_007605.1	98	99	192428	Epstein-Barr virus
SRR11840515	NC_007605.1	100	97	1340	Epstein-Barr virus
SRR11207306	NC_007605.1	100	99	2243	Epstein-Barr virus
SRR1153470	NC_007605.1	99	99	269477	Epstein-Barr virus
ERR3210032	NC_007605.1	100	99	670	Epstein-Barr virus
SRR11236241	NC_007605.1	100	99	260403	Epstein-Barr virus
ERR3210034	NC_007605.1	100	99	6967	Epstein-Barr virus
ERR3210036	NC_007605.1	100	99	4842	Epstein-Barr virus
SRR062098	NC_007605.1	57	98	163	Epstein-Barr virus
SRR062099	NC_007605.1	53	98	155	Epstein-Barr virus
SRR11312874	NC_007605.1	50	99	430	Epstein-Barr virus
SRR060400	NC_007605.1	55	93	130	Epstein-Barr virus
SRR10977298	NC_007605.1	87	100	5749	Epstein-Barr virus
SRR060401	NC_007605.1	56	93	138	Epstein-Barr virus
SRR10977299	NC_007605.1	93	100	5260	Epstein-Barr virus
SRR10977300	NC_007605.1	82	100	20719	Epstein-Barr virus
SRR10977301	NC_007605.1	93	100	12010	Epstein-Barr virus
SRR10977302	NC_007605.1	96	100	11193	Epstein-Barr virus
SRR11646554	NC_007605.1	95	99	12258	Epstein-Barr virus
SRR11646555	NC_007605.1	95	99	11602	Epstein-Barr virus
SRR11178348	NC_007605.1	100	99	270136	Epstein-Barr virus
SRR11646556	NC_007605.1	98	99	24854	Epstein-Barr virus
SRR11646557	NC_007605.1	95	99	11062	Epstein-Barr virus
SRR11178349	NC_007605.1	100	99	274863	Epstein-Barr virus
SRR11646558	NC_007605.1	98	99	19048	Epstein-Barr virus
SRR11178350	NC_007605.1	100	99	29892	Epstein-Barr virus
SRR11646559	NC_007605.1	98	99	24855	Epstein-Barr virus
SRR11178351	NC_007605.1	100	99	35965	Epstein-Barr virus
SRR11646560	NC_007605.1	99	99	30196	Epstein-Barr virus
SRR11178352	NC_007605.1	100	99	35043	Epstein-Barr virus
SRR11646561	NC_007605.1	98	99	43301	Epstein-Barr virus
SRR11178353	NC_007605.1	100	96	1316746	Epstein-Barr virus
SRR11646562	NC_007605.1	98	99	54308	Epstein-Barr virus
SRR11646563	NC_007605.1	99	99	33323	Epstein-Barr virus
SRR11646564	NC_007605.1	98	99	34296	Epstein-Barr virus
SRR11646565	NC_007605.1	99	99	43267	Epstein-Barr virus
SRR11646566	NC_007605.1	98	99	17850	Epstein-Barr virus
SRR11646567	NC_007605.1	98	99	20157	Epstein-Barr virus
SRR11646568	NC_007605.1	98	99	29022	Epstein-Barr virus
SRR11646569	NC_007605.1	98	99	30518	Epstein-Barr virus
SRR11646570	NC_007605.1	100	98	33450	Epstein-Barr virus
SRR11646571	NC_007605.1	100	98	36207	Epstein-Barr virus
SRR11646572	NC_007605.1	100	97	136519	Epstein-Barr virus
SRR10613502	NC_007605.1	51	98	139	Epstein-Barr virus
SRR062278	NC_007605.1	83	98	339	Epstein-Barr virus
SRR11646573	NC_007605.1	100	97	134815	Epstein-Barr virus
SRR11207331	NC_007605.1	100	99	1581	Epstein-Barr virus
SRR11661706	NC_007605.1	68	99	232	Epstein-Barr virus
SRR11638300	NC_007605.1	97	100	7934	Epstein-Barr virus
SRR11638301	NC_007605.1	97	100	13577	Epstein-Barr virus
SRR11638302	NC_007605.1	100	98	18470	Epstein-Barr virus
SRR11646574	NC_007605.1	100	98	136977	Epstein-Barr virus
SRR11661712	NC_007605.1	91	99	357	Epstein-Barr virus
SRR11638303	NC_007605.1	100	98	14142	Epstein-Barr virus
SRR11646575	NC_007605.1	100	97	125428	Epstein-Barr virus
SRR11646576	NC_007605.1	100	98	142327	Epstein-Barr virus
SRR11646577	NC_007605.1	100	97	113684	Epstein-Barr virus
SRR11646578	NC_007605.1	100	97	122283	Epstein-Barr virus
SRR11646579	NC_007605.1	100	97	92007	Epstein-Barr virus
SRR11646580	NC_007605.1	100	97	107719	Epstein-Barr virus
SRR11646582	NC_007605.1	100	97	101806	Epstein-Barr virus
SRR11646581	NC_007605.1	100	97	109024	Epstein-Barr virus
SRR11646583	NC_007605.1	100	97	106404	Epstein-Barr virus
SRR11646584	NC_007605.1	100	97	35104	Epstein-Barr virus
SRR11646585	NC_007605.1	100	98	37491	Epstein-Barr virus
SRR11646586	NC_007605.1	100	98	45943	Epstein-Barr virus
SRR11646587	NC_007605.1	100	98	44105	Epstein-Barr virus
SRR11646588	NC_007605.1	100	98	50290	Epstein-Barr virus
SRR11646589	NC_007605.1	100	98	54011	Epstein-Barr virus
SRR11646590	NC_007605.1	100	98	18262	Epstein-Barr virus
SRR11646591	NC_007605.1	100	98	32764	Epstein-Barr virus
SRR11646594	NC_007605.1	100	98	13338	Epstein-Barr virus
SRR11521369	NC_007605.1	56	100	204	Epstein-Barr virus
SRR11519101	NC_007605.1	97	100	11521	Epstein-Barr virus
SRR11646592	NC_007605.1	100	98	27392	Epstein-Barr virus
SRR11646593	NC_007605.1	100	98	17567	Epstein-Barr virus
SRR11521370	NC_007605.1	62	99	205	Epstein-Barr virus
SRR11646595	NC_007605.1	100	98	23247	Epstein-Barr virus
SRR11519102	NC_007605.1	98	99	11588	Epstein-Barr virus
SRR11519103	NC_007605.1	73	99	4504	Epstein-Barr virus
SRR11519104	NC_007605.1	77	99	4487	Epstein-Barr virus
SRR11646596	NC_007605.1	100	98	30340	Epstein-Barr virus
SRR11646597	NC_007605.1	100	98	38486	Epstein-Barr virus
SRR11646598	NC_007605.1	100	98	48110	Epstein-Barr virus
SRR11646599	NC_007605.1	100	98	27284	Epstein-Barr virus
SRR11646600	NC_007605.1	100	98	33980	Epstein-Barr virus
SRR11646601	NC_007605.1	100	98	38614	Epstein-Barr virus
SRR11646602	NC_007605.1	100	98	115137	Epstein-Barr virus
SRR11476757	NC_007605.1	99	99	5828	Epstein-Barr virus
ERR3210050	NC_007605.1	50	99	162	Epstein-Barr virus
SRR11646603	NC_007605.1	100	98	113519	Epstein-Barr virus
ERR321998	NC_007605.1	97	100	238981	Epstein-Barr virus
SRR11646604	NC_007605.1	100	98	98540	Epstein-Barr virus
SRR11646605	NC_007605.1	100	98	102453	Epstein-Barr virus
SRR11646606	NC_007605.1	99	99	109483	Epstein-Barr virus
SRR11646607	NC_007605.1	99	99	106940	Epstein-Barr virus
ERR3210051	NC_007605.1	100	99	2921	Epstein-Barr virus
SRR11749265	NC_007605.1	100	98	54365	Epstein-Barr virus
SRR10918780	NC_007605.1	67	99	648	Epstein-Barr virus
SRR10918781	NC_007605.1	71	99	843	Epstein-Barr virus
SRR1178329	NC_007605.1	87	99	5822	Epstein-Barr virus
SRR1178330	NC_007605.1	96	99	5401	Epstein-Barr virus
SRR10985216	NC_007605.1	97	100	89749	Epstein-Barr virus
SRR11490601	NC_007605.1	97	100	51386	Epstein-Barr virus
SRR1032144	NC_007605.1	90	99	22441	Epstein-Barr virus
SRR11490602	NC_007605.1	97	100	60890	Epstein-Barr virus
SRR11490603	NC_007605.1	97	100	72001	Epstein-Barr virus
ERR1135718	NC_007605.1	80	98	230	Epstein-Barr virus
SRR11490604	NC_007605.1	97	100	61081	Epstein-Barr virus
SRR11490605	NC_007605.1	97	100	171523	Epstein-Barr virus
SRR11490606	NC_007605.1	97	99	207976	Epstein-Barr virus
SRR11490607	NC_007605.1	97	99	426918	Epstein-Barr virus
SRR11490608	NC_007605.1	98	99	507791	Epstein-Barr virus
SRR1032145	NC_007605.1	100	98	27482	Epstein-Barr virus
SRR1032146	NC_007605.1	100	98	12287652	Epstein-Barr virus
SRR1032147	NC_007605.1	100	99	23403	Epstein-Barr virus
SRR1032148	NC_007605.1	100	99	2014922	Epstein-Barr virus
SRR1032149	NC_007605.1	92	99	18478	Epstein-Barr virus
SRR1032150	NC_007605.1	93	99	17742	Epstein-Barr virus
SRR11490609	NC_007605.1	98	99	218967	Epstein-Barr virus
SRR1032151	NC_007605.1	88	99	12424	Epstein-Barr virus
SRR1032152	NC_007605.1	92	99	22314	Epstein-Barr virus
SRR11490610	NC_007605.1	98	99	175333	Epstein-Barr virus
SRR1032153	NC_007605.1	93	99	88802	Epstein-Barr virus
SRR11490611	NC_007605.1	98	99	42706	Epstein-Barr virus
SRR1032154	NC_007605.1	100	99	208421	Epstein-Barr virus
SRR11490612	NC_007605.1	97	100	47025	Epstein-Barr virus
SRR1032155	NC_007605.1	100	99	452530	Epstein-Barr virus
SRR11490613	NC_007605.1	97	100	54284	Epstein-Barr virus
SRR11490614	NC_007605.1	97	100	46405	Epstein-Barr virus
SRR1032156	NC_007605.1	100	99	216405	Epstein-Barr virus
SRR11920207	NC_007605.1	94	96	345	Epstein-Barr virus
ERR3210068	NC_007605.1	100	99	3756	Epstein-Barr virus
ERR1135726	NC_007605.1	98	99	385	Epstein-Barr virus
ERR3210069	NC_007605.1	100	99	5642	Epstein-Barr virus
ERR1135727	NC_007605.1	96	98	313	Epstein-Barr virus
SRR062325	NC_007605.1	97	98	532	Epstein-Barr virus
SRR1161036	NC_007605.1	70	99	996	Epstein-Barr virus
SRR1161045	NC_007605.1	80	99	1958	Epstein-Barr virus
SRR11342498	NC_007605.1	72	100	6036	Epstein-Barr virus
SRR1161059	NC_007605.1	80	99	2157	Epstein-Barr virus
SRR11342499	NC_007605.1	84	100	3480	Epstein-Barr virus
SRR11342501	NC_007605.1	65	99	726	Epstein-Barr virus
ERR3210074	NC_007605.1	50	99	153	Epstein-Barr virus
SRR11342503	NC_007605.1	71	100	6022	Epstein-Barr virus
SRR11342504	NC_007605.1	83	99	3303	Epstein-Barr virus
SRR11342506	NC_007605.1	80	99	1226	Epstein-Barr virus
SRR1566171	NC_007605.1	99	99	39868	Epstein-Barr virus
SRR1566172	NC_007605.1	100	98	39265	Epstein-Barr virus
SRR1566173	NC_007605.1	99	99	141950	Epstein-Barr virus
SRR1566174	NC_007605.1	100	99	142006	Epstein-Barr virus
SRR1566175	NC_007605.1	100	99	146069	Epstein-Barr virus
SRR1566176	NC_007605.1	100	99	144699	Epstein-Barr virus
SRR1566197	NC_007605.1	100	99	132392	Epstein-Barr virus
SRR1566200	NC_007605.1	100	99	130834	Epstein-Barr virus
SRR1566235	NC_007605.1	100	99	146402	Epstein-Barr virus
SRR1566239	NC_007605.1	100	99	144112	Epstein-Barr virus
SRR1566276	NC_007605.1	100	99	11177	Epstein-Barr virus
SRR1566277	NC_007605.1	100	98	11035	Epstein-Barr virus
SRR1566278	NC_007605.1	99	99	50800	Epstein-Barr virus
SRR1566279	NC_007605.1	99	99	50575	Epstein-Barr virus
SRR1124844	NC_007605.1	100	99	82477	Epstein-Barr virus
SRR062364	NC_007605.1	56	98	146	Epstein-Barr virus
SRR062365	NC_007605.1	56	98	155	Epstein-Barr virus
ERR3210093	NC_007605.1	87	99	332	Epstein-Barr virus
SRR1560838	NC_007605.1	59	99	3335	Epstein-Barr virus
SRR1560840	NC_007605.1	100	98	158939	Epstein-Barr virus
SRR1560842	NC_007605.1	100	99	21287	Epstein-Barr virus
ERR3210094	NC_007605.1	100	99	651	Epstein-Barr virus
SRR1560844	NC_007605.1	81	99	8847	Epstein-Barr virus
SRR1560845	NC_007605.1	97	99	46237	Epstein-Barr virus
SRR10749012	NC_007605.1	67	100	585	Epstein-Barr virus
SRR1560846	NC_007605.1	100	99	18206	Epstein-Barr virus
ERR594387	NC_007605.1	67	100	279	Epstein-Barr virus
SRR1583259	NC_007605.1	50	100	214	Epstein-Barr virus
SRR1290421	NC_007605.1	100	98	288838	Epstein-Barr virus
SRR1290422	NC_007605.1	100	98	481044	Epstein-Barr virus
ERR3210102	NC_007605.1	78	99	306	Epstein-Barr virus
SRR1290423	NC_007605.1	100	97	9672943	Epstein-Barr virus
SRR1290424	NC_007605.1	100	97	13616540	Epstein-Barr virus
SRR1585488	NC_007605.1	98	99	16517	Epstein-Barr virus
SRR1585486	NC_007605.1	100	99	26412	Epstein-Barr virus
SRR1585487	NC_007605.1	97	100	28507	Epstein-Barr virus
SRR1585489	NC_007605.1	92	100	9660	Epstein-Barr virus
SRR1585490	NC_007605.1	98	99	31224	Epstein-Barr virus
SRR1585491	NC_007605.1	89	100	7840	Epstein-Barr virus
SRR1585492	NC_007605.1	97	100	14507	Epstein-Barr virus
SRR1585493	NC_007605.1	99	99	11467	Epstein-Barr virus
SRR1585494	NC_007605.1	92	99	14837	Epstein-Barr virus
SRR1585495	NC_007605.1	97	100	10999	Epstein-Barr virus
SRR1585496	NC_007605.1	98	99	17787	Epstein-Barr virus
SRR1585497	NC_007605.1	98	99	4641	Epstein-Barr virus
SRR1585498	NC_007605.1	98	100	15908	Epstein-Barr virus
SRR1585499	NC_007605.1	98	99	10540	Epstein-Barr virus
SRR1585500	NC_007605.1	88	100	1978	Epstein-Barr virus
SRR1585501	NC_007605.1	99	99	5802	Epstein-Barr virus
SRR1585502	NC_007605.1	97	100	10584	Epstein-Barr virus
SRR1585503	NC_007605.1	100	100	13850	Epstein-Barr virus
SRR1585504	NC_007605.1	98	99	15946	Epstein-Barr virus
SRR1585505	NC_007605.1	98	100	9791	Epstein-Barr virus
SRR1585506	NC_007605.1	92	99	4939	Epstein-Barr virus
SRR062402	NC_007605.1	94	99	753	Epstein-Barr virus
SRR11808764	NC_007605.1	94	96	345	Epstein-Barr virus
SRR1585507	NC_007605.1	98	100	22118	Epstein-Barr virus
ERR3210109	NC_007605.1	97	99	451	Epstein-Barr virus
SRR1585508	NC_007605.1	91	100	12353	Epstein-Barr virus
SRR1585509	NC_007605.1	100	100	13588	Epstein-Barr virus
SRR1585510	NC_007605.1	98	99	23225	Epstein-Barr virus
SRR061206	NC_007605.1	100	98	16020	Epstein-Barr virus
SRR061207	NC_007605.1	100	98	16020	Epstein-Barr virus
SRR1585511	NC_007605.1	94	99	7409	Epstein-Barr virus
SRR1585512	NC_007605.1	97	100	49630	Epstein-Barr virus
SRR1585513	NC_007605.1	97	100	10770	Epstein-Barr virus
SRR1585514	NC_007605.1	97	100	23206	Epstein-Barr virus
SRR1585515	NC_007605.1	97	100	25748	Epstein-Barr virus
SRR1984506	NC_007605.1	94	99	12338	Epstein-Barr virus
SRR1984507	NC_007605.1	95	99	10906	Epstein-Barr virus
SRR1984508	NC_007605.1	93	99	18948	Epstein-Barr virus
SRR1585516	NC_007605.1	97	99	50311	Epstein-Barr virus
SRR1585517	NC_007605.1	98	100	17728	Epstein-Barr virus
SRR1585518	NC_007605.1	100	100	13631	Epstein-Barr virus
SRR1984509	NC_007605.1	100	99	114212	Epstein-Barr virus
SRR1984510	NC_007605.1	100	99	126463	Epstein-Barr virus
SRR1585519	NC_007605.1	100	100	14156	Epstein-Barr virus
SRR1984511	NC_007605.1	100	99	124541	Epstein-Barr virus
SRR1984512	NC_007605.1	100	99	88654	Epstein-Barr virus
SRR1984513	NC_007605.1	100	99	97132	Epstein-Barr virus
SRR1585520	NC_007605.1	98	100	5564	Epstein-Barr virus
SRR1984514	NC_007605.1	100	99	111291	Epstein-Barr virus
SRR1585521	NC_007605.1	97	100	11252	Epstein-Barr virus
SRR1984515	NC_007605.1	100	99	95459	Epstein-Barr virus
SRR1984516	NC_007605.1	100	99	111517	Epstein-Barr virus
SRR1984517	NC_007605.1	100	99	143422	Epstein-Barr virus
SRR1984518	NC_007605.1	93	99	48842	Epstein-Barr virus
SRR1984519	NC_007605.1	92	99	61176	Epstein-Barr virus
SRR1984520	NC_007605.1	90	99	45789	Epstein-Barr virus
SRR1984521	NC_007605.1	90	99	50208	Epstein-Barr virus
SRR1648319	NC_007605.1	59	98	965	Epstein-Barr virus
SRR1585522	NC_007605.1	97	100	10524	Epstein-Barr virus
SRR1585523	NC_007605.1	100	100	18016	Epstein-Barr virus
SRR2018836	NC_007605.1	56	99	538	Epstein-Barr virus
SRR1585524	NC_007605.1	97	100	14046	Epstein-Barr virus
SRR1585525	NC_007605.1	100	100	12628	Epstein-Barr virus
SRR1585526	NC_007605.1	94	100	6637	Epstein-Barr virus
SRR1585527	NC_007605.1	97	100	8804	Epstein-Barr virus
SRR1585528	NC_007605.1	97	100	11018	Epstein-Barr virus
SRR1585529	NC_007605.1	98	100	14799	Epstein-Barr virus
SRR1585530	NC_007605.1	94	100	6854	Epstein-Barr virus
SRR1585531	NC_007605.1	100	100	8258	Epstein-Barr virus
SRR1648325	NC_007605.1	79	99	29142	Epstein-Barr virus
SRR1648328	NC_007605.1	51	99	17148	Epstein-Barr virus
SRR1564416	NC_007605.1	100	99	96890	Epstein-Barr virus
SRR1585532	NC_007605.1	97	100	23065	Epstein-Barr virus
SRR1564417	NC_007605.1	100	98	96081	Epstein-Barr virus
SRR1585533	NC_007605.1	90	100	9161	Epstein-Barr virus
SRR1585534	NC_007605.1	98	100	11201	Epstein-Barr virus
SRR1585535	NC_007605.1	99	99	12716	Epstein-Barr virus
SRR1585536	NC_007605.1	85	100	6284	Epstein-Barr virus
SRR1585537	NC_007605.1	93	100	2821	Epstein-Barr virus
SRR1648331	NC_007605.1	52	98	1671	Epstein-Barr virus
SRR1585538	NC_007605.1	97	100	13855	Epstein-Barr virus
SRR1585539	NC_007605.1	88	100	10184	Epstein-Barr virus
SRR1585540	NC_007605.1	75	100	5576	Epstein-Barr virus
SRR1585541	NC_007605.1	97	100	56329	Epstein-Barr virus
SRR1648335	NC_007605.1	52	99	3368	Epstein-Barr virus
SRR1953019	NC_007605.1	85	99	2077	Epstein-Barr virus
SRR1585542	NC_007605.1	97	100	27428	Epstein-Barr virus
SRR1953020	NC_007605.1	87	99	2167	Epstein-Barr virus
SRR1953021	NC_007605.1	90	99	3102	Epstein-Barr virus
SRR1585543	NC_007605.1	91	100	8218	Epstein-Barr virus
SRR1585544	NC_007605.1	86	100	4181	Epstein-Barr virus
SRR1953022	NC_007605.1	92	99	2441	Epstein-Barr virus
SRR1585545	NC_007605.1	85	99	8867	Epstein-Barr virus
SRR11886719	NC_007605.1	58	98	147	Epstein-Barr virus
SRR1585546	NC_007605.1	97	100	12305	Epstein-Barr virus
SRR1585547	NC_007605.1	97	100	18793	Epstein-Barr virus
SRR1585548	NC_007605.1	97	100	20140	Epstein-Barr virus
SRR1585549	NC_007605.1	97	100	18158	Epstein-Barr virus
SRR2125049	NC_007605.1	87	98	2087	Epstein-Barr virus
SRR1985069	NC_007605.1	97	100	121682	Epstein-Barr virus
SRR2125050	NC_007605.1	88	99	2090	Epstein-Barr virus
SRR1985070	NC_007605.1	97	100	216203	Epstein-Barr virus
SRR2125051	NC_007605.1	91	98	2050	Epstein-Barr virus
SRR1585550	NC_007605.1	97	100	5651	Epstein-Barr virus
SRR1163131	NC_007605.1	100	98	139417	Epstein-Barr virus
SRR1811013	NC_007605.1	96	100	89575	Epstein-Barr virus
SRR1811014	NC_007605.1	96	100	69475	Epstein-Barr virus
SRR1811015	NC_007605.1	96	100	99029	Epstein-Barr virus
SRR1811016	NC_007605.1	97	100	95222	Epstein-Barr virus
SRR1811017	NC_007605.1	96	100	86698	Epstein-Barr virus
SRR1811018	NC_007605.1	96	100	76481	Epstein-Barr virus
SRR1585551	NC_007605.1	97	100	13085	Epstein-Barr virus
SRR1585552	NC_007605.1	97	100	20742	Epstein-Barr virus
