run_id	sequence_accession	score	percent_identity	n_reads	viral_name	BioSample
SRR1145643	NC_009333.1	100	97	2575	Human herpesvirus 8	SAMN02597072
SRR1145644	NC_009333.1	100	98	6223	Human herpesvirus 8	SAMN02597069
SRR1145645	NC_009333.1	100	98	2221	Human herpesvirus 8	SAMN02597070
SRR1145646	NC_009333.1	100	96	5281	Human herpesvirus 8	SAMN02597071
SRR1145647	NC_009333.1	100	99	6607	Human herpesvirus 8	SAMN02597074
SRR1146075	NC_001405.1	100	99	17466	Human adenovirus	SAMN02597780
SRR1146257	NC_001405.1	100	99	150800	Human adenovirus	SAMN02597781
SRR1146258	NC_001405.1	72	98	32005	Human adenovirus	SAMN02597782
SRR1146259	NC_001405.1	100	99	796751	Human adenovirus	SAMN02597783
SRR1146260	NC_001405.1	100	98	461648	Human adenovirus	SAMN02597784
SRR1146261	NC_001405.1	100	100	13709855	Human adenovirus	SAMN02597785
SRR1146262	NC_001405.1	100	99	44659475	Human adenovirus	SAMN02597786
SRR11476757	NC_007605.1	99	99	5828	Epstein-Barr virus	SAMN14533537
SRR11476812	NC_007605.1	65	99	1814	Epstein-Barr virus	SAMN14533491
SRR11477318	NC_007605.1	100	99	29461	Epstein-Barr virus	SAMN14533972
SRR11477319	NC_007605.1	100	100	18355	Epstein-Barr virus	SAMN14533971
SRR11480834	NC_001348.1	100	96	854	Varicella-zoster virus	SAMN14537988
SRR11480835	NC_001348.1	100	95	1045	Varicella-zoster virus	SAMN14537987
SRR11490601	NC_007605.1	97	100	51386	Epstein-Barr virus	SAMN14545603
SRR11490602	NC_007605.1	97	100	60890	Epstein-Barr virus	SAMN14545602
SRR11490603	NC_007605.1	97	100	72001	Epstein-Barr virus	SAMN14545601
SRR11490604	NC_007605.1	97	100	61081	Epstein-Barr virus	SAMN14545600
SRR11490605	NC_007605.1	97	100	171523	Epstein-Barr virus	SAMN14545599
SRR11490606	NC_007605.1	97	99	207976	Epstein-Barr virus	SAMN14545597
SRR11490607	NC_007605.1	97	99	426918	Epstein-Barr virus	SAMN14545596
SRR11490608	NC_007605.1	98	99	507791	Epstein-Barr virus	SAMN14545595
SRR11490609	NC_007605.1	98	99	218967	Epstein-Barr virus	SAMN14545594
SRR11490610	NC_007605.1	98	99	175333	Epstein-Barr virus	SAMN14545593
SRR11490611	NC_007605.1	98	99	42706	Epstein-Barr virus	SAMN14545592
SRR11490612	NC_007605.1	97	100	47025	Epstein-Barr virus	SAMN14545598
SRR11490613	NC_007605.1	97	100	54284	Epstein-Barr virus	SAMN14545591
SRR11490614	NC_007605.1	97	100	46405	Epstein-Barr virus	SAMN14545590
SRR11517675	NC_001405.1	76	95	483	Human adenovirus	SAMN14563434
SRR11517680	NC_001405.1	100	96	2316425	Human adenovirus	SAMN14563429
SRR11517681	NC_001405.1	100	97	215328	Human adenovirus	SAMN14563428
SRR11517682	NC_001405.1	100	97	1495719	Human adenovirus	SAMN14563427
SRR11517741	NC_001405.1	100	97	433441	Human adenovirus	SAMN14563426
SRR11517742	NC_001405.1	100	97	126444	Human adenovirus	SAMN14563425
SRR11517743	NC_001405.1	100	97	113895	Human adenovirus	SAMN14563424
SRR11517745	NC_001405.1	82	95	569	Human adenovirus	SAMN14563422
SRR11519101	NC_007605.1	97	100	11521	Epstein-Barr virus	SAMN14568140
SRR11519102	NC_007605.1	98	99	11588	Epstein-Barr virus	SAMN14568139
SRR11519103	NC_007605.1	73	99	4504	Epstein-Barr virus	SAMN14568138
SRR11519104	NC_007605.1	77	99	4487	Epstein-Barr virus	SAMN14568137
SRR1153470	NC_007605.1	99	99	269477	Epstein-Barr virus	SAMN00801888
SRR11563708	NC_007605.1	97	100	203394	Epstein-Barr virus	SAMN14604121
SRR11563709	NC_007605.1	98	99	675962	Epstein-Barr virus	SAMN14604127
SRR11563710	NC_007605.1	99	99	707331	Epstein-Barr virus	SAMN14604117
SRR11563712	NC_007605.1	99	99	945261	Epstein-Barr virus	SAMN14604124
SRR11563713	NC_007605.1	98	99	512637	Epstein-Barr virus	SAMN14604126
SRR11563715	NC_007605.1	98	99	532173	Epstein-Barr virus	SAMN14604118
SRR11563716	NC_007605.1	99	99	1074759	Epstein-Barr virus	SAMN14604122
SRR11563718	NC_007605.1	99	99	1846562	Epstein-Barr virus	SAMN14604125
SRR11573892	NC_001405.1	100	96	121744	Human adenovirus	SAMN14644190
SRR11573893	NC_001405.1	100	96	121447	Human adenovirus	SAMN14644190
SRR11573894	NC_001405.1	100	96	127967	Human adenovirus	SAMN14644190
SRR11573895	NC_001405.1	100	96	127220	Human adenovirus	SAMN14644190
SRR11573896	NC_001405.1	100	96	732924	Human adenovirus	SAMN14644189
SRR11573897	NC_001405.1	100	96	725406	Human adenovirus	SAMN14644189
SRR11573898	NC_001405.1	100	96	769818	Human adenovirus	SAMN14644189
SRR11573899	NC_001405.1	100	96	760291	Human adenovirus	SAMN14644189
SRR11573900	NC_001405.1	100	96	405080	Human adenovirus	SAMN14644188
SRR11573901	NC_001405.1	100	96	402484	Human adenovirus	SAMN14644188
SRR11573902	NC_001405.1	100	96	425883	Human adenovirus	SAMN14644188
SRR11573903	NC_001405.1	100	96	421922	Human adenovirus	SAMN14644188
SRR11573904	NC_001405.1	100	96	156351	Human adenovirus	SAMN14644187
SRR11573905	NC_001405.1	100	96	155895	Human adenovirus	SAMN14644187
SRR11573906	NC_001405.1	100	97	164105	Human adenovirus	SAMN14644187
SRR11573907	NC_001405.1	100	97	163298	Human adenovirus	SAMN14644187
SRR11573908	NC_001405.1	100	96	182888	Human adenovirus	SAMN14644186
SRR11573909	NC_001405.1	100	96	181362	Human adenovirus	SAMN14644186
SRR11573910	NC_001405.1	100	97	192770	Human adenovirus	SAMN14644186
SRR11573911	NC_001405.1	100	97	189250	Human adenovirus	SAMN14644186
SRR11573912	NC_001405.1	100	96	176678	Human adenovirus	SAMN14644185
SRR11573913	NC_001405.1	100	96	175995	Human adenovirus	SAMN14644185
SRR11573914	NC_001405.1	100	97	185802	Human adenovirus	SAMN14644185
SRR11573915	NC_001405.1	100	97	182868	Human adenovirus	SAMN14644185
SRR11573916	NC_001405.1	100	96	240162	Human adenovirus	SAMN14644184
SRR11573917	NC_001405.1	100	96	240859	Human adenovirus	SAMN14644184
SRR11573918	NC_001405.1	100	97	253598	Human adenovirus	SAMN14644184
SRR11573919	NC_001405.1	100	97	251750	Human adenovirus	SAMN14644184
SRR11573920	NC_001405.1	100	96	207665	Human adenovirus	SAMN14644183
SRR11573921	NC_001405.1	100	96	206100	Human adenovirus	SAMN14644183
SRR11573922	NC_001405.1	100	97	220104	Human adenovirus	SAMN14644183
SRR11573923	NC_001405.1	100	97	216399	Human adenovirus	SAMN14644183
SRR11573924	NC_001405.1	100	96	172582	Human adenovirus	SAMN14644182
SRR11573925	NC_001405.1	100	96	171378	Human adenovirus	SAMN14644182
SRR11573926	NC_001405.1	100	96	181314	Human adenovirus	SAMN14644182
SRR11573927	NC_001405.1	100	97	180309	Human adenovirus	SAMN14644182
SRR11594397	NC_001405.1	69	99	5457	Human adenovirus	SAMN14677106
SRR1161036	NC_007605.1	70	99	996	Epstein-Barr virus	SAMN02617575
SRR1161036	NC_009333.1	100	99	504392	Human herpesvirus 8	SAMN02617575
SRR1161045	NC_007605.1	80	99	1958	Epstein-Barr virus	SAMN02617576
SRR1161059	NC_007605.1	80	99	2157	Epstein-Barr virus	SAMN02617577
SRR1163131	NC_007605.1	100	98	139417	Epstein-Barr virus	SAMN02630115
SRR11638300	NC_007605.1	97	100	7934	Epstein-Barr virus	SAMN14769084
SRR11638301	NC_007605.1	97	100	13577	Epstein-Barr virus	SAMN14769070
SRR11638302	NC_007605.1	100	98	18470	Epstein-Barr virus	SAMN14769055
SRR11638303	NC_007605.1	100	98	14142	Epstein-Barr virus	SAMN14769041
SRR11646554	NC_007605.1	95	99	12258	Epstein-Barr virus	SAMN14771377
SRR11646555	NC_007605.1	95	99	11602	Epstein-Barr virus	SAMN14771376
SRR11646556	NC_007605.1	98	99	24854	Epstein-Barr virus	SAMN14771375
SRR11646557	NC_007605.1	95	99	11062	Epstein-Barr virus	SAMN14771374
SRR11646558	NC_007605.1	98	99	19048	Epstein-Barr virus	SAMN14771427
SRR11646559	NC_007605.1	98	99	24855	Epstein-Barr virus	SAMN14771426
SRR11646560	NC_007605.1	99	99	30196	Epstein-Barr virus	SAMN14771425
SRR11646561	NC_007605.1	98	99	43301	Epstein-Barr virus	SAMN14771424
SRR11646562	NC_007605.1	98	99	54308	Epstein-Barr virus	SAMN14771423
SRR11646563	NC_007605.1	99	99	33323	Epstein-Barr virus	SAMN14771422
SRR11646564	NC_007605.1	98	99	34296	Epstein-Barr virus	SAMN14771421
SRR11646565	NC_007605.1	99	99	43267	Epstein-Barr virus	SAMN14771420
SRR11646566	NC_007605.1	98	99	17850	Epstein-Barr virus	SAMN14771419
SRR11646567	NC_007605.1	98	99	20157	Epstein-Barr virus	SAMN14771418
SRR11646568	NC_007605.1	98	99	29022	Epstein-Barr virus	SAMN14771417
SRR11646569	NC_007605.1	98	99	30518	Epstein-Barr virus	SAMN14771415
SRR11646570	NC_007605.1	100	98	33450	Epstein-Barr virus	SAMN14771414
SRR11646571	NC_007605.1	100	98	36207	Epstein-Barr virus	SAMN14771413
SRR11646572	NC_007605.1	100	97	136519	Epstein-Barr virus	SAMN14771412
SRR11646573	NC_007605.1	100	97	134815	Epstein-Barr virus	SAMN14771411
SRR11646574	NC_007605.1	100	98	136977	Epstein-Barr virus	SAMN14771416
SRR11646575	NC_007605.1	100	97	125428	Epstein-Barr virus	SAMN14771410
SRR11646576	NC_007605.1	100	98	142327	Epstein-Barr virus	SAMN14771409
SRR11646577	NC_007605.1	100	97	113684	Epstein-Barr virus	SAMN14771408
SRR11646578	NC_007605.1	100	97	122283	Epstein-Barr virus	SAMN14771407
SRR11646579	NC_007605.1	100	97	92007	Epstein-Barr virus	SAMN14771406
SRR11646580	NC_007605.1	100	97	107719	Epstein-Barr virus	SAMN14771405
SRR11646581	NC_007605.1	100	97	109024	Epstein-Barr virus	SAMN14771404
SRR11646582	NC_007605.1	100	97	101806	Epstein-Barr virus	SAMN14771403
SRR11646583	NC_007605.1	100	97	106404	Epstein-Barr virus	SAMN14771402
SRR11646584	NC_007605.1	100	97	35104	Epstein-Barr virus	SAMN14771401
SRR11646585	NC_007605.1	100	98	37491	Epstein-Barr virus	SAMN14771400
SRR11646586	NC_007605.1	100	98	45943	Epstein-Barr virus	SAMN14771399
SRR11646587	NC_007605.1	100	98	44105	Epstein-Barr virus	SAMN14771398
SRR11646588	NC_007605.1	100	98	50290	Epstein-Barr virus	SAMN14771397
SRR11646589	NC_007605.1	100	98	54011	Epstein-Barr virus	SAMN14771396
SRR11646590	NC_007605.1	100	98	18262	Epstein-Barr virus	SAMN14771395
SRR11646591	NC_007605.1	100	98	32764	Epstein-Barr virus	SAMN14771394
SRR11646592	NC_007605.1	100	98	27392	Epstein-Barr virus	SAMN14771393
SRR11646593	NC_007605.1	100	98	17567	Epstein-Barr virus	SAMN14771392
SRR11646594	NC_007605.1	100	98	13338	Epstein-Barr virus	SAMN14771391
SRR11646595	NC_007605.1	100	98	23247	Epstein-Barr virus	SAMN14771390
SRR11646596	NC_007605.1	100	98	30340	Epstein-Barr virus	SAMN14771389
SRR11646597	NC_007605.1	100	98	38486	Epstein-Barr virus	SAMN14771388
SRR11646598	NC_007605.1	100	98	48110	Epstein-Barr virus	SAMN14771387
SRR11646599	NC_007605.1	100	98	27284	Epstein-Barr virus	SAMN14771386
SRR11646600	NC_007605.1	100	98	33980	Epstein-Barr virus	SAMN14771385
SRR11646601	NC_007605.1	100	98	38614	Epstein-Barr virus	SAMN14771384
SRR11646602	NC_007605.1	100	98	115137	Epstein-Barr virus	SAMN14771383
SRR11646603	NC_007605.1	100	98	113519	Epstein-Barr virus	SAMN14771382
SRR11646604	NC_007605.1	100	98	98540	Epstein-Barr virus	SAMN14771381
SRR11646605	NC_007605.1	100	98	102453	Epstein-Barr virus	SAMN14771380
SRR11646606	NC_007605.1	99	99	109483	Epstein-Barr virus	SAMN14771379
SRR11646607	NC_007605.1	99	99	106940	Epstein-Barr virus	SAMN14771378
SRR11684511	NC_001664.4	59	97	207	Human herpesvirus 6	SAMN14828139
SRR11684512	NC_001664.4	100	97	8249933	Human herpesvirus 6	SAMN14828138
SRR1178329	NC_007605.1	87	99	5822	Epstein-Barr virus	SAMN02585630
SRR1178330	NC_007605.1	96	99	5401	Epstein-Barr virus	SAMN02585629
SRR11866967	NC_001716.2	67	98	385	Human herpesvirus 7	SAMN14996140
SRR1200660	NC_001405.1	100	96	3801	Human adenovirus	SAMN02693073
SRR1200668	NC_001405.1	100	98	969011	Human adenovirus	SAMN02693053
SRR1200669	NC_001405.1	100	98	1115684	Human adenovirus	SAMN02693054
SRR1200670	NC_001405.1	100	98	689299	Human adenovirus	SAMN02693076
SRR1200671	NC_001405.1	100	98	988136	Human adenovirus	SAMN02693075
SRR1200672	NC_001405.1	100	98	867301	Human adenovirus	SAMN02693077
SRR1200673	NC_001405.1	100	98	815101	Human adenovirus	SAMN02693059
SRR1200674	NC_001405.1	100	98	1338274	Human adenovirus	SAMN02693055
SRR1200675	NC_001405.1	100	98	1330334	Human adenovirus	SAMN02693058
SRR1200676	NC_001405.1	100	97	1470569	Human adenovirus	SAMN02693060
SRR1200677	NC_001405.1	100	97	1706400	Human adenovirus	SAMN02693064
SRR1200678	NC_001405.1	100	97	1270102	Human adenovirus	SAMN02693061
SRR1200679	NC_001405.1	100	97	1096766	Human adenovirus	SAMN02693062
SRR1200680	NC_001405.1	100	97	1306404	Human adenovirus	SAMN02693066
SRR1200681	NC_001405.1	100	97	1170093	Human adenovirus	SAMN02693068
SRR1200682	NC_001405.1	100	97	1835248	Human adenovirus	SAMN02693063
SRR1200683	NC_001405.1	100	97	1862143	Human adenovirus	SAMN02693067
SRR1200684	NC_001405.1	100	98	1138249	Human adenovirus	SAMN02693069
SRR1200685	NC_001405.1	100	98	968366	Human adenovirus	SAMN02693065
SRR1200686	NC_001405.1	100	97	973034	Human adenovirus	SAMN02693071
SRR1200687	NC_001405.1	100	98	873165	Human adenovirus	SAMN02693070
SRR1207865	NC_009333.1	100	100	311435	Human herpesvirus 8	SAMN02711809
SRR1207867	NC_009333.1	100	100	486920	Human herpesvirus 8	SAMN02711787
SRR1223590	NC_001806.2	97	98	584	Human herpesvirus 1	SAMN02721662
SRR1258217	NC_007605.1	100	98	266813	Epstein-Barr virus	SAMN02731490
SRR1258218	NC_007605.1	100	98	245891	Epstein-Barr virus	SAMN02731489
SRR1258219	NC_007605.1	100	98	138236	Epstein-Barr virus	SAMN02731496
SRR1258220	NC_007605.1	100	98	271023	Epstein-Barr virus	SAMN02731491
SRR1258221	NC_007605.1	100	97	439847	Epstein-Barr virus	SAMN02731492
SRR1271846	NC_001405.1	96	97	9561	Human adenovirus	SAMN02746166
SRR1274240	NC_007605.1	66	99	8910	Epstein-Barr virus	SAMN02731818
SRR1274250	NC_007605.1	61	99	4149	Epstein-Barr virus	SAMN02731823
SRR1274268	NC_007605.1	99	99	107099	Epstein-Barr virus	SAMN02731816
SRR1274269	NC_007605.1	56	100	433	Epstein-Barr virus	SAMN02731816
SRR1290421	NC_007605.1	100	98	288838	Epstein-Barr virus	SAMN02782207
SRR1290422	NC_007605.1	100	98	481044	Epstein-Barr virus	SAMN02782208
SRR1290423	NC_007605.1	100	97	9672943	Epstein-Barr virus	SAMN02782209
SRR1290424	NC_007605.1	100	97	13616540	Epstein-Barr virus	SAMN02782210
SRR1293901	NC_007605.1	100	98	85707	Epstein-Barr virus	SAMN02796308
SRR1293902	NC_007605.1	100	98	245904	Epstein-Barr virus	SAMN02796307
SRR1296543	NC_006273.2	61	99	334	Human cytomegalovirus	SAMN02798128
SRR1313108	NC_007605.1	52	99	761	Epstein-Barr virus	SAMN02821137
SRR1313210	NC_006273.2	64	99	440	Human cytomegalovirus	SAMN02820999
SRR1313735	NC_007605.1	100	98	14325	Epstein-Barr virus	SAMN02821218
SRR1313736	NC_007605.1	100	99	42294	Epstein-Barr virus	SAMN02821218
SRR1313737	NC_007605.1	100	98	23641	Epstein-Barr virus	SAMN02821218
SRR1313738	NC_007605.1	100	99	41716	Epstein-Barr virus	SAMN02821215
SRR1313739	NC_007605.1	100	98	54063	Epstein-Barr virus	SAMN02821215
SRR1313740	NC_007605.1	100	99	29392	Epstein-Barr virus	SAMN02821215
SRR1313741	NC_007605.1	100	98	211370	Epstein-Barr virus	SAMN02821216
SRR1313742	NC_007605.1	100	99	127584	Epstein-Barr virus	SAMN02821216
SRR1313743	NC_007605.1	100	98	104271	Epstein-Barr virus	SAMN02821216
SRR1313744	NC_007605.1	100	99	78637	Epstein-Barr virus	SAMN02821217
SRR1313745	NC_007605.1	100	98	83952	Epstein-Barr virus	SAMN02821217
SRR1313746	NC_007605.1	100	99	61991	Epstein-Barr virus	SAMN02821217
SRR1506027	NC_001664.4	76	98	1152	Human herpesvirus 6	SAMN02902393
SRR1522996	NC_007605.1	57	96	13237	Epstein-Barr virus	SAMN02929551
SRR1522998	NC_007605.1	100	96	35359	Epstein-Barr virus	SAMN02929553
SRR1523602	NC_001405.1	80	99	33463	Human adenovirus	SAMN02934689
SRR1523604	NC_001405.1	75	99	17631	Human adenovirus	SAMN02934677
SRR1523605	NC_001405.1	97	99	167530	Human adenovirus	SAMN02934678
SRR1523606	NC_001405.1	98	99	250174	Human adenovirus	SAMN02934679
SRR1523607	NC_001405.1	100	99	125100	Human adenovirus	SAMN02934680
SRR1523609	NC_001405.1	57	99	3159	Human adenovirus	SAMN02934687
SRR1523610	NC_001405.1	97	98	45084	Human adenovirus	SAMN02934688
SRR1523611	NC_001405.1	100	99	51643	Human adenovirus	SAMN02934690
SRR1523612	NC_001405.1	97	99	28865	Human adenovirus	SAMN02934691
SRR1523653	NC_001806.2	100	94	15695	Human herpesvirus 1	SAMN02935349
SRR1523654	NC_001806.2	100	98	242089	Human herpesvirus 1	SAMN02935350
SRR1523654	NC_001798.2	100	93	976	Human herpesvirus 2	SAMN02935350
SRR1523655	NC_006560.1	91	89	697	Cercopithecine herpesvirus	SAMN02935351
SRR1523655	NC_001806.2	100	98	1700910	Human herpesvirus 1	SAMN02935351
SRR1523655	NC_001798.2	100	94	7588	Human herpesvirus 2	SAMN02935351
SRR1523656	NC_006560.1	98	89	892	Cercopithecine herpesvirus	SAMN02935352
SRR1523656	NC_001806.2	100	98	3370922	Human herpesvirus 1	SAMN02935352
SRR1523656	NC_001798.2	100	93	12912	Human herpesvirus 2	SAMN02935352
SRR1523657	NC_006560.1	100	89	4344	Cercopithecine herpesvirus	SAMN02935353
SRR1523657	NC_001806.2	100	98	6825457	Human herpesvirus 1	SAMN02935353
SRR1523657	NC_001798.2	100	92	39928	Human herpesvirus 2	SAMN02935353
SRR1523658	NC_001806.2	100	93	21065	Human herpesvirus 1	SAMN02935354
SRR1523658	NC_001798.2	67	88	169	Human herpesvirus 2	SAMN02935354
SRR1523659	NC_001806.2	100	98	55267	Human herpesvirus 1	SAMN02935355
SRR1523659	NC_001798.2	73	91	239	Human herpesvirus 2	SAMN02935355
SRR1523660	NC_006560.1	89	90	896	Cercopithecine herpesvirus	SAMN02935356
SRR1523660	NC_001806.2	100	98	1324875	Human herpesvirus 1	SAMN02935356
SRR1523660	NC_001798.2	100	93	8785	Human herpesvirus 2	SAMN02935356
SRR1523661	NC_006560.1	98	89	1212	Cercopithecine herpesvirus	SAMN02935357
SRR1523661	NC_001806.2	100	98	3381319	Human herpesvirus 1	SAMN02935357
SRR1523661	NC_001798.2	100	93	16178	Human herpesvirus 2	SAMN02935357
SRR1523662	NC_006560.1	100	90	1898	Cercopithecine herpesvirus	SAMN02935358
SRR1523662	NC_001806.2	100	98	5006524	Human herpesvirus 1	SAMN02935358
SRR1523662	NC_001798.2	100	93	22008	Human herpesvirus 2	SAMN02935358
SRR1523663	NC_006560.1	100	89	3951	Cercopithecine herpesvirus	SAMN02935359
SRR1523663	NC_001806.2	100	98	12060192	Human herpesvirus 1	SAMN02935359
SRR1523663	NC_001798.2	100	92	46834	Human herpesvirus 2	SAMN02935359
SRR1523664	NC_006560.1	100	89	2878	Cercopithecine herpesvirus	SAMN02935360
SRR1523664	NC_001806.2	100	98	9422823	Human herpesvirus 1	SAMN02935360
SRR1523664	NC_001798.2	100	92	34697	Human herpesvirus 2	SAMN02935360
SRR1523665	NC_006560.1	100	89	4732	Cercopithecine herpesvirus	SAMN02935361
SRR1523665	NC_001806.2	100	99	13919305	Human herpesvirus 1	SAMN02935361
SRR1523665	NC_001798.2	100	92	53429	Human herpesvirus 2	SAMN02935361
SRR1523666	NC_006560.1	100	90	8015	Cercopithecine herpesvirus	SAMN02935362
SRR1523666	NC_001806.2	100	99	13957461	Human herpesvirus 1	SAMN02935362
SRR1523666	NC_001798.2	100	91	63688	Human herpesvirus 2	SAMN02935362
SRR1523667	NC_001806.2	100	94	43737	Human herpesvirus 1	SAMN02935363
SRR1523667	NC_001798.2	100	89	357	Human herpesvirus 2	SAMN02935363
SRR1523668	NC_001806.2	100	97	251660	Human herpesvirus 1	SAMN02935364
SRR1523668	NC_001798.2	100	93	1223	Human herpesvirus 2	SAMN02935364
SRR1523669	NC_006560.1	88	89	750	Cercopithecine herpesvirus	SAMN02935365
SRR1523669	NC_001806.2	100	98	1420220	Human herpesvirus 1	SAMN02935365
SRR1523669	NC_001798.2	100	93	7254	Human herpesvirus 2	SAMN02935365
SRR1523670	NC_006560.1	100	89	822	Cercopithecine herpesvirus	SAMN02935366
SRR1523670	NC_001806.2	100	98	3152266	Human herpesvirus 1	SAMN02935366
SRR1523670	NC_001798.2	100	93	11961	Human herpesvirus 2	SAMN02935366
SRR1523671	NC_006560.1	100	88	1039	Cercopithecine herpesvirus	SAMN02935367
SRR1523671	NC_001806.2	100	98	4926984	Human herpesvirus 1	SAMN02935367
SRR1523671	NC_001798.2	100	93	16202	Human herpesvirus 2	SAMN02935367
SRR1523672	NC_001806.2	100	94	8207	Human herpesvirus 1	SAMN02935368
SRR1523673	NC_001806.2	100	96	58450	Human herpesvirus 1	SAMN02935369
SRR1523673	NC_001798.2	93	89	328	Human herpesvirus 2	SAMN02935369
SRR1523674	NC_006560.1	99	89	834	Cercopithecine herpesvirus	SAMN02935370
SRR1523674	NC_001806.2	100	98	1440060	Human herpesvirus 1	SAMN02935370
SRR1523674	NC_001798.2	100	94	8401	Human herpesvirus 2	SAMN02935370
SRR1523675	NC_006560.1	100	90	3963	Cercopithecine herpesvirus	SAMN02935371
SRR1523675	NC_001806.2	100	98	4997733	Human herpesvirus 1	SAMN02935371
SRR1523675	NC_001798.2	100	93	35036	Human herpesvirus 2	SAMN02935371
SRR1523676	NC_006560.1	100	90	7757	Cercopithecine herpesvirus	SAMN02935372
SRR1523676	NC_001806.2	100	98	8950081	Human herpesvirus 1	SAMN02935372
SRR1523676	NC_001798.2	100	93	62607	Human herpesvirus 2	SAMN02935372
SRR1523677	NC_006560.1	100	90	7765	Cercopithecine herpesvirus	SAMN02935373
SRR1523677	NC_001806.2	100	98	10152180	Human herpesvirus 1	SAMN02935373
SRR1523677	NC_001798.2	100	92	64953	Human herpesvirus 2	SAMN02935373
SRR1523678	NC_006560.1	100	89	4689	Cercopithecine herpesvirus	SAMN02935374
SRR1523678	NC_001806.2	100	98	12206399	Human herpesvirus 1	SAMN02935374
SRR1523678	NC_001798.2	100	92	51058	Human herpesvirus 2	SAMN02935374
SRR1523679	NC_006560.1	100	90	14233	Cercopithecine herpesvirus	SAMN02935375
SRR1523679	NC_001806.2	100	98	17483479	Human herpesvirus 1	SAMN02935375
SRR1523679	NC_001798.2	100	92	114517	Human herpesvirus 2	SAMN02935375
SRR1523680	NC_006560.1	100	89	11506	Cercopithecine herpesvirus	SAMN02935376
SRR1523680	NC_001806.2	100	98	21367473	Human herpesvirus 1	SAMN02935376
SRR1523680	NC_001798.2	100	92	99945	Human herpesvirus 2	SAMN02935376
SRR1525240	NC_001405.1	59	98	9081	Human adenovirus	SAMN02941001
SRR1525242	NC_001405.1	57	98	4248	Human adenovirus	SAMN02941003
SRR1525244	NC_001405.1	70	98	13565	Human adenovirus	SAMN02941005
SRR1525246	NC_001405.1	66	98	6513	Human adenovirus	SAMN02941007
SRR1525248	NC_001405.1	64	98	8826	Human adenovirus	SAMN02941009
SRR1525250	NC_001405.1	71	98	6645	Human adenovirus	SAMN02941011
SRR1525254	NC_001405.1	65	98	4444	Human adenovirus	SAMN02941015
SRR1525256	NC_001405.1	53	97	1113	Human adenovirus	SAMN02941017
SRR1525257	NC_001405.1	71	98	18399	Human adenovirus	SAMN02941018
SRR1525258	NC_001405.1	56	99	3451	Human adenovirus	SAMN02941019
SRR1525259	NC_001405.1	51	99	3387	Human adenovirus	SAMN02941020
SRR1525260	NC_001405.1	60	98	7668	Human adenovirus	SAMN02941021
SRR1525262	NC_001405.1	50	98	1725	Human adenovirus	SAMN02941023
SRR1535517	NC_001806.2	50	100	149	Human herpesvirus 1	SAMN02950952
SRR1535519	NC_001806.2	82	100	491	Human herpesvirus 1	SAMN02950953
SRR1535520	NC_001806.2	72	100	512	Human herpesvirus 1	SAMN02950953
SRR1535521	NC_001806.2	81	100	536	Human herpesvirus 1	SAMN02950953
SRR1535522	NC_001806.2	100	100	13138	Human herpesvirus 1	SAMN02950954
SRR1535523	NC_001806.2	100	100	14259	Human herpesvirus 1	SAMN02950954
SRR1535524	NC_001806.2	100	100	14622	Human herpesvirus 1	SAMN02950954
SRR1535525	NC_001806.2	100	100	319445	Human herpesvirus 1	SAMN02950955
SRR1535525	NC_001798.2	92	100	5560	Human herpesvirus 2	SAMN02950955
SRR1535526	NC_001806.2	100	100	323045	Human herpesvirus 1	SAMN02950955
SRR1535526	NC_001798.2	98	100	5663	Human herpesvirus 2	SAMN02950955
SRR1535527	NC_001806.2	100	100	326869	Human herpesvirus 1	SAMN02950955
SRR1535527	NC_001798.2	98	100	5688	Human herpesvirus 2	SAMN02950955
SRR1535528	NC_001806.2	100	100	938619	Human herpesvirus 1	SAMN02950956
SRR1535528	NC_001798.2	100	100	14708	Human herpesvirus 2	SAMN02950956
SRR1535529	NC_001806.2	100	100	1053311	Human herpesvirus 1	SAMN02950956
SRR1535529	NC_001798.2	100	100	16629	Human herpesvirus 2	SAMN02950956
SRR1535530	NC_001806.2	100	100	1060534	Human herpesvirus 1	SAMN02950956
SRR1535530	NC_001798.2	100	100	16649	Human herpesvirus 2	SAMN02950956
SRR1535531	NC_001806.2	100	100	1283406	Human herpesvirus 1	SAMN02950957
SRR1535531	NC_001798.2	100	100	20123	Human herpesvirus 2	SAMN02950957
SRR1535532	NC_001806.2	100	100	1280684	Human herpesvirus 1	SAMN02950957
SRR1535532	NC_001798.2	100	100	20248	Human herpesvirus 2	SAMN02950957
SRR1535533	NC_001806.2	100	100	1289351	Human herpesvirus 1	SAMN02950957
SRR1535533	NC_001798.2	100	100	20522	Human herpesvirus 2	SAMN02950957
SRR1535534	NC_001806.2	77	100	439	Human herpesvirus 1	SAMN02950958
SRR1535535	NC_001806.2	84	100	499	Human herpesvirus 1	SAMN02950958
SRR1535536	NC_001806.2	82	100	475	Human herpesvirus 1	SAMN02950958
SRR1535537	NC_001806.2	66	100	648	Human herpesvirus 1	SAMN02950959
SRR1535538	NC_001806.2	64	100	746	Human herpesvirus 1	SAMN02950959
SRR1535539	NC_001806.2	62	100	729	Human herpesvirus 1	SAMN02950959
SRR1535540	NC_001806.2	100	100	106549	Human herpesvirus 1	SAMN02950960
SRR1535540	NC_001798.2	86	99	1876	Human herpesvirus 2	SAMN02950960
